"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"198","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",120,1,2,94,"f","f","flexible",5523,8754
"199","f","f","Jamaica Plain","House","Private room",1,1,1,1,"Real Bed",39,1,7,0,"f","f","strict",5523,8754
"200","t","t","Jamaica Plain","House","Entire home/apt",6,2,2,2,"Real Bed",195,3,4,49,"t","t","strict",5523,8754
"201","f","f","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",65,1,2,1,"f","f","flexible",5523,8754
"202","f","t","Jamaica Plain","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,1,30,"t","f","flexible",5523,8754
"203","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",70,1,2,15,"f","f","flexible",5523,8754
"204","f","t","Jamaica Plain","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,47,"f","f","moderate",5523,8754
"205","t","t","Jamaica Plain","Apartment","Entire home/apt",4,1,1,4,"Real Bed",130,3,2,123,"f","f","moderate",5523,8754
"206","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",46,1,1,2,"f","f","flexible",5523,8754
"207","t","t","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,32,"f","f","flexible",5523,8754
"208","t","t","Jamaica Plain","Condominium","Entire home/apt",4,1,2,2,"Real Bed",120,1,1,0,"f","f","flexible",5523,8754
"209","f","t","Jamaica Plain","Apartment","Entire home/apt",6,1,3,3,"Real Bed",319,6,2,22,"f","f","moderate",5523,8754
"210","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",46,2,2,48,"t","f","strict",5523,8754
"211","f","t","Jamaica Plain","House","Entire home/apt",5,2,4,3,"Real Bed",149,5,30,1,"f","f","strict",5523,8754
"212","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",85,1,1,10,"t","f","flexible",5523,8754
"213","f","t","Jamaica Plain","Apartment","Entire home/apt",8,1.5,4,4,"Real Bed",300,6,4,2,"f","f","strict",5523,8754
"214","t","t","Jamaica Plain","Apartment","Entire home/apt",8,2,4,4,"Real Bed",399,4,2,28,"f","t","strict",5523,8754
