"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"200","t","t","House","Entire home/apt",6,2,2,2,"Real Bed",195,3,4,49,"t","t","strict",9079,13573
"201","f","f","Condominium","Private room",2,1,1,1,"Real Bed",65,1,2,1,"f","f","flexible",9079,13573
"202","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,1,30,"t","f","flexible",9079,13573
"203","f","f","Apartment","Private room",2,1,1,1,"Real Bed",70,1,2,15,"f","f","flexible",9079,13573
"204","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,47,"f","f","moderate",9079,13573
"205","t","t","Apartment","Entire home/apt",4,1,1,4,"Real Bed",130,3,2,123,"f","f","moderate",9079,13573
"206","f","t","Apartment","Private room",2,1,1,1,"Real Bed",46,1,1,2,"f","f","flexible",9079,13573
"207","t","t","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,32,"f","f","flexible",9079,13573
"208","t","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",120,1,1,0,"f","f","flexible",9079,13573
"209","f","t","Apartment","Entire home/apt",6,1,3,3,"Real Bed",319,6,2,22,"f","f","moderate",9079,13573
"210","f","t","House","Private room",2,1,1,1,"Real Bed",46,2,2,48,"t","f","strict",9079,13573
"211","f","t","House","Entire home/apt",5,2,4,3,"Real Bed",149,5,30,1,"f","f","strict",9079,13573
"212","f","t","House","Private room",2,1,1,1,"Real Bed",85,1,1,10,"t","f","flexible",9079,13573
"213","f","t","Apartment","Entire home/apt",8,1.5,4,4,"Real Bed",300,6,4,2,"f","f","strict",9079,13573
"214","t","t","Apartment","Entire home/apt",8,2,4,4,"Real Bed",399,4,2,28,"f","t","strict",9079,13573
"215","f","f","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,11,"t","f","moderate",9079,13573
"216","t","t","House","Private room",2,1,1,1,"Real Bed",80,1,1,69,"f","f","moderate",9079,13573
"217","t","t","Apartment","Private room",2,1,1,2,"Real Bed",65,1,1,8,"f","f","flexible",9079,13573
"218","f","t","House","Entire home/apt",2,1,0,1,"Real Bed",90,1,2,217,"t","f","moderate",9079,13573
"219","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,3,"f","f","strict",9079,13573
"220","f","t","Apartment","Private room",2,1,1,1,"Real Bed",55,1,1,60,"f","f","moderate",9079,13573
"221","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,2,3,1,"f","f","strict",9079,13573
"223","f","t","House","Entire home/apt",4,1,2,1,"Real Bed",170,2,2,44,"f","f","moderate",9079,13573
"224","f","t","House","Entire home/apt",7,2,3,4,"Real Bed",300,2,2,3,"f","f","flexible",9079,13573
"225","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict",9079,13573
"226","f","t","Apartment","Private room",3,1,1,1,"Real Bed",75,1,2,0,"f","f","strict",9079,13573
"227","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",122,1,3,0,"f","f","strict",9079,13573
"228","f","f","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,0,"f","f","flexible",9079,13573
"229","f","t","Apartment","Entire home/apt",5,2,2,2,"Real Bed",177,1,3,1,"f","f","strict",9079,13573
"230","t","t","House","Private room",2,1,1,1,"Real Bed",69,1,2,22,"t","f","moderate",9079,13573
"231","t","t","House","Entire home/apt",5,1.5,2,3,"Real Bed",187,4,5,3,"f","t","strict",9079,13573
"232","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,2,3,27,"f","t","flexible",9079,13573
"233","f","t","Apartment","Private room",1,1,1,1,"Real Bed",70,1,3,0,"t","f","flexible",9079,13573
"234","f","t","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",100,2,3,134,"f","t","strict",9079,13573
"235","f","t","Guesthouse","Private room",2,1,1,1,"Real Bed",179,1,1,2,"t","f","moderate",9079,13573
"236","f","f","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,38,"f","f","strict",9079,13573
"237","f","t","House","Entire home/apt",6,1,4,4,"Real Bed",335,1,4,2,"f","f","strict",9079,13573
"238","t","t","Apartment","Entire home/apt",9,2,4,4,"Real Bed",195,4,2,109,"f","t","strict",9079,13573
"239","f","f","Apartment","Entire home/apt",5,2,2,1,"Real Bed",189,1,3,0,"f","f","strict",9079,13573
